FBgn0004118	reaction	FBgn0028561
FBgn0030992	reaction	FBgn0037551
FBgn0003256	reaction	FBgn0031437
FBgn0033259	reaction	FBgn0263006
FBgn0028421	reaction	FBgn0038205
FBgn0003943	reaction	FBgn0263396
FBgn0026718	reaction	FBgn0034005
FBgn0028561	reaction	FBgn0259221
FBgn0025608	reaction	FBgn0036211
FBgn0037671	reaction	FBgn0283666
FBgn0039246	reaction	FBgn0267002
FBgn0024846	reaction	FBgn0087011
FBgn0028688	reaction	FBgn0266599
FBgn0031760	reaction	FBgn0265140
FBgn0001233	reaction	FBgn0020236
FBgn0039625	reaction	FBgn0039830
FBgn0028671	reaction	FBgn0032782
FBgn0028695	reaction	FBgn0051354
FBgn0033460	reaction	FBgn0261049
FBgn0028694	reaction	FBgn0262733
FBgn0034366	reaction	FBgn0267339
FBgn0032450	reaction	FBgn0038738
FBgn0004179	reaction	FBgn0028561
FBgn0028894	reaction	FBgn0031437
FBgn0030164	reaction	FBgn0031973
FBgn0003204	reaction	FBgn0266599
FBgn0001233	reaction	FBgn0267385
FBgn0022984	reaction	FBgn0038927
FBgn0036207	reaction	FBgn0036487
FBgn0015808	reaction	FBgn0031813
FBgn0032161	reaction	FBgn0035588
FBgn0015808	reaction	FBgn0033761
FBgn0019890	reaction	FBgn0034921
FBgn0031973	reaction	FBgn0051832
FBgn0010341	reaction	FBgn0015789
FBgn0030674	reaction	FBgn0261396
FBgn0024833	reaction	FBgn0264574
FBgn0011745	reaction	FBgn0034442
FBgn0003137	reaction	FBgn0003716
FBgn0028687	reaction	FBgn0284436
FBgn0001250	reaction	FBgn0015924
FBgn0000045	reaction	FBgn0000046
FBgn0002939	reaction	FBgn0034880
FBgn0262733	reaction	FBgn0267488
FBgn0051294	reaction	FBgn0263106
FBgn0032015	reaction	FBgn0259221
FBgn0011288	reaction	FBgn0040285
FBgn0010395	reaction	FBgn0283666
FBgn0029094	reaction	FBgn0053801
FBgn0030747	reaction	FBgn0030993
FBgn0017418	reaction	FBgn0035709
FBgn0011745	reaction	FBgn0028688
FBgn0264574	reaction	FBgn0265575
FBgn0028684	reaction	FBgn0034229
FBgn0001250	reaction	FBgn0035290
FBgn0005775	reaction	FBgn0030887
FBgn0000559	reaction	FBgn0028687
FBgn0010638	reaction	FBgn0011509
FBgn0032061	reaction	FBgn0035169
FBgn0004507	reaction	FBgn0029812
FBgn0001215	reaction	FBgn0039626
FBgn0000038	reaction	FBgn0004636
FBgn0038465	reaction	FBgn0267339
FBgn0263986	reaction	FBgn0267339
FBgn0033984	reaction	FBgn0038046
FBgn0000667	reaction	FBgn0050280
FBgn0030674	reaction	FBgn0036372
FBgn0000629	reaction	FBgn0026373
FBgn0020312	reaction	FBgn0085446
FBgn0000557	reaction	FBgn0032228
FBgn0032813	reaction	FBgn0053520
FBgn0028684	reaction	FBgn0037396
FBgn0037150	reaction	FBgn0085303
FBgn0024352	reaction	FBgn0032474
FBgn0013278	reaction	FBgn0037728
FBgn0023213	reaction	FBgn0035207
FBgn0033859	reaction	FBgn0045862
FBgn0011745	reaction	FBgn0032061
FBgn0030674	reaction	FBgn0267385
FBgn0000557	reaction	FBgn0001233
FBgn0000064	reaction	FBgn0030151
FBgn0027568	reaction	FBgn0028694
FBgn0030752	reaction	FBgn0053523
FBgn0002466	reaction	FBgn0003137
FBgn0001187	reaction	FBgn0003204
FBgn0000559	reaction	FBgn0024733
FBgn0004657	reaction	FBgn0262513
FBgn0014010	reaction	FBgn0038613
FBgn0023174	reaction	FBgn0262733
FBgn0028695	reaction	FBgn0035878
FBgn0004574	reaction	FBgn0040087
FBgn0028479	reaction	FBgn0031092
FBgn0032061	reaction	FBgn0034628
FBgn0025571	reaction	FBgn0035692
FBgn0028421	reaction	FBgn0034824
FBgn0029870	reaction	FBgn0037327
FBgn0022097	reaction	FBgn0030752
FBgn0011742	reaction	FBgn0050378
FBgn0261617	reaction	FBgn0264326
FBgn0039925	reaction	FBgn0045843
FBgn0015765	reaction	FBgn0267385
FBgn0001216	reaction	FBgn0034366
FBgn0013770	reaction	FBgn0035161
FBgn0028913	reaction	FBgn0260962
FBgn0028689	reaction	FBgn0262733
FBgn0015765	reaction	FBgn0029778
FBgn0000038	reaction	FBgn0015791
FBgn0001186	reaction	FBgn0014018
